,Year,Month,Day,Hour,Minute,GHI,Cloud Type,Surface Albedo
7,2020,1,1,7,0,102,3,0.16
8,2020,1,1,8,0,344,0,0.16
9,2020,1,1,9,0,571,0,0.16
10,2020,1,1,10,0,744,0,0.16
11,2020,1,1,11,0,866,1,0.16
12,2020,1,1,12,0,534,3,0.16
13,2020,1,1,13,0,675,3,0.16
14,2020,1,1,14,0,565,3,0.16
15,2020,1,1,15,0,437,7,0.16
16,2020,1,1,16,0,150,4,0.16
17,2020,1,1,17,0,68,8,0.16
18,2020,1,1,18,0,2,8,0.16
31,2020,1,2,7,0,128,0,0.16
32,2020,1,2,8,0,364,0,0.16
33,2020,1,2,9,0,594,0,0.16
34,2020,1,2,10,0,779,1,0.16
35,2020,1,2,11,0,902,0,0.16
36,2020,1,2,12,0,952,0,0.16
37,2020,1,2,13,0,920,1,0.16
38,2020,1,2,14,0,597,3,0.16
39,2020,1,2,15,0,646,0,0.16
40,2020,1,2,16,0,431,0,0.16
41,2020,1,2,17,0,199,0,0.16
42,2020,1,2,18,0,8,7,0.16
55,2020,1,3,7,0,131,0,0.16
56,2020,1,3,8,0,369,1,0.16
57,2020,1,3,9,0,596,1,0.16
58,2020,1,3,10,0,507,3,0.16
59,2020,1,3,11,0,721,3,0.16
60,2020,1,3,12,0,945,0,0.16
61,2020,1,3,13,0,925,0,0.16
62,2020,1,3,14,0,824,0,0.16
63,2020,1,3,15,0,660,0,0.16
64,2020,1,3,16,0,443,0,0.16
65,2020,1,3,17,0,204,0,0.16
66,2020,1,3,18,0,13,0,0.16
79,2020,1,4,7,0,135,0,0.16
80,2020,1,4,8,0,379,0,0.16
81,2020,1,4,9,0,611,0,0.16
82,2020,1,4,10,0,782,0,0.16
83,2020,1,4,11,0,909,0,0.16
84,2020,1,4,12,0,960,0,0.16
85,2020,1,4,13,0,925,0,0.16
86,2020,1,4,14,0,826,0,0.16
87,2020,1,4,15,0,662,0,0.16
88,2020,1,4,16,0,448,0,0.16
89,2020,1,4,17,0,211,0,0.16
90,2020,1,4,18,0,15,0,0.16
103,2020,1,5,7,0,130,0,0.16
104,2020,1,5,8,0,368,0,0.16
105,2020,1,5,9,0,594,0,0.16
106,2020,1,5,10,0,474,3,0.16
107,2020,1,5,11,0,882,1,0.16
108,2020,1,5,12,0,936,1,0.16
109,2020,1,5,13,0,893,1,0.16
110,2020,1,5,14,0,422,3,0.16
111,2020,1,5,15,0,357,3,0.16
112,2020,1,5,16,0,292,3,0.16
113,2020,1,5,17,0,47,4,0.16
114,2020,1,5,18,0,10,7,0.16
127,2020,1,6,7,0,123,0,0.16
128,2020,1,6,8,0,360,0,0.16
129,2020,1,6,9,0,589,0,0.16
130,2020,1,6,10,0,764,0,0.16
131,2020,1,6,11,0,887,0,0.16
132,2020,1,6,12,0,917,2,0.16
133,2020,1,6,13,0,711,3,0.16
134,2020,1,6,14,0,796,0,0.16
135,2020,1,6,15,0,631,0,0.16
136,2020,1,6,16,0,417,0,0.16
137,2020,1,6,17,0,187,1,0.16
138,2020,1,6,18,0,8,1,0.16
151,2020,1,7,7,0,113,0,0.16
152,2020,1,7,8,0,349,0,0.16
153,2020,1,7,9,0,583,0,0.16
154,2020,1,7,10,0,788,0,0.16
155,2020,1,7,11,0,916,0,0.16
156,2020,1,7,12,0,969,0,0.16
157,2020,1,7,13,0,938,1,0.16
158,2020,1,7,14,0,838,0,0.16
159,2020,1,7,15,0,672,0,0.16
160,2020,1,7,16,0,455,0,0.16
161,2020,1,7,17,0,215,0,0.16
162,2020,1,7,18,0,16,0,0.16
175,2020,1,8,7,0,125,0,0.16
176,2020,1,8,8,0,371,0,0.16
177,2020,1,8,9,0,608,0,0.16
178,2020,1,8,10,0,800,0,0.16
179,2020,1,8,11,0,929,0,0.16
180,2020,1,8,12,0,982,0,0.16
181,2020,1,8,13,0,951,0,0.16
182,2020,1,8,14,0,848,0,0.16
183,2020,1,8,15,0,505,3,0.16
184,2020,1,8,16,0,460,0,0.16
185,2020,1,8,17,0,218,0,0.16
186,2020,1,8,18,0,9,3,0.16
199,2020,1,9,7,0,119,0,0.16
200,2020,1,9,8,0,360,0,0.16
201,2020,1,9,9,0,594,0,0.16
202,2020,1,9,10,0,784,0,0.16
203,2020,1,9,11,0,914,0,0.16
204,2020,1,9,12,0,969,0,0.16
205,2020,1,9,13,0,936,0,0.16
206,2020,1,9,14,0,837,0,0.16
207,2020,1,9,15,0,671,0,0.16
208,2020,1,9,16,0,317,3,0.16
209,2020,1,9,17,0,216,0,0.16
210,2020,1,9,18,0,17,1,0.16
223,2020,1,10,7,0,124,1,0.16
224,2020,1,10,8,0,369,0,0.16
225,2020,1,10,9,0,605,0,0.16
226,2020,1,10,10,0,793,0,0.16
227,2020,1,10,11,0,922,1,0.16
228,2020,1,10,12,0,742,3,0.16
229,2020,1,10,13,0,950,0,0.16
230,2020,1,10,14,0,851,0,0.16
231,2020,1,10,15,0,686,0,0.16
232,2020,1,10,16,0,468,0,0.16
233,2020,1,10,17,0,225,0,0.16
234,2020,1,10,18,0,20,0,0.16
247,2020,1,11,7,0,123,0,0.16
248,2020,1,11,8,0,365,0,0.16
249,2020,1,11,9,0,600,0,0.16
250,2020,1,11,10,0,787,0,0.16
251,2020,1,11,11,0,913,0,0.16
252,2020,1,11,12,0,968,0,0.16
253,2020,1,11,13,0,611,3,0.16
254,2020,1,11,14,0,831,1,0.16
255,2020,1,11,15,0,468,3,0.16
256,2020,1,11,16,0,448,0,0.16
257,2020,1,11,17,0,51,4,0.16
258,2020,1,11,18,0,7,4,0.16
271,2020,1,12,7,0,118,0,0.16
272,2020,1,12,8,0,116,3,0.16
273,2020,1,12,9,0,594,0,0.16
274,2020,1,12,10,0,774,0,0.16
275,2020,1,12,11,0,688,3,0.16
276,2020,1,12,12,0,664,3,0.16
277,2020,1,12,13,0,935,0,0.16
278,2020,1,12,14,0,671,3,0.16
279,2020,1,12,15,0,368,3,0.16
280,2020,1,12,16,0,236,3,0.16
281,2020,1,12,17,0,220,1,0.16
282,2020,1,12,18,0,20,0,0.16
295,2020,1,13,7,0,118,0,0.16
